QID,Miejscowosc,Description,Latitude,Longitude
"Q147830","Meksyk","miejscowość (Meksyk) [19°26'00' N, 99°08'00' W]",19.433333333333334,-99.13333333333334
"Q147819","Monastyr","miejscowość (Tunezja) [35°46'30' N, 10°49'30' E]",35.775,10.825
"Q147833","Nowy Jork","miejscowość (Stany Zjednoczone) [40°45'00' N, 73°59'00' W]",40.75,-73.98333333333333
"Q147792","Mozambik","miejscowość (Mozambik) [15°02'10' S, 40°44'00' E]",-15.036111111111111,40.733333333333334
"Q147825","Gwatemala","miejscowość (Gwatemala) [14°36'30' N, 90°31'00' W]",14.608333333333333,-90.51666666666667
"Q147831","Panama","miejscowość (Panama) [8°59'00' N, 79°31'30' W]",8.983333333333333,-79.525
"Q147823","Abidżan","miejscowość (Wybrzeże Kości Słoniowej) [5°20'00' N, 4°01'30' W]",5.333333333333333,-4.025
"Q147824","Jamusukro","miejscowość (Wybrzeże Kości Słoniowej) [6°49'20' N, 5°16'30' W]",6.822222222222222,-5.275
"Q147814","Bizerta","miejscowość (Tunezja) [37°16'30' N, 9°52'30' E]",37.275,9.875
"Q147813","Arusza","miejscowość (Tanzania) [3°22'20' S, 36°41'10' E]",-3.3722222222222222,36.68611111111111
"Q147816","Kabis","miejscowość (Tunezja) [33°53'00' N, 10°06'00' E]",33.88333333333333,10.1
"Q147817","Kairuan","miejscowość (Tunezja) [35°40'30' N, 10°06'00' E]",35.675,10.1
"Q147822","Tunis","miejscowość (Tunezja) [36°48'00' N, 10°11'00' E]",36.8,10.183333333333334
"Q147820","Safakis","miejscowość (Tunezja) [34°44'30' N, 10°45'30' E]",34.74166666666667,10.758333333333333
"Q147821","Susa","miejscowość (Tunezja) [35°49'30' N, 10°38'00' E]",35.825,10.633333333333333
"Q147807","Chartum","miejscowość (Sudan) [15°36'00' N, 32°31'30' E]",15.6,32.525
"Q147835","Waszyngton","miejscowość (Stany Zjednoczone) [38°54'00' N, 77°01'00' W]",38.9,-77.01666666666667
"Q147799","Bangi","miejscowość (Republika Środkowoafrykańska) [4°21'40' N, 18°35'00' E]",4.361111111111111,18.583333333333332
"Q147795","Bauczi","miejscowość (Nigeria) [10°18'50' N, 9°50'40' E]",10.313888888888888,9.844444444444445
"Q147774","Antananarywa","miejscowość (Madagaskar) [18°54'30' S, 47°31'30' E]",-18.908333333333335,47.525
"Q147776","Timbuktu","miejscowość (Mali) [16°46'30' N, 3°00'30' W]",16.775,-3.0083333333333333
"Q147840","Asunción","miejscowość (Paragwaj) [25°17'00' S, 57°38'30' W]",-25.283333333333335,-57.641666666666666
"Q147771","Syrta","miejscowość (Libia) [31°12'30' N, 16°35'00' E]",31.208333333333332,16.583333333333332
"Q147769","Bengazi","miejscowość (Libia) [32°07'00' N, 20°04'00' E]",32.11666666666667,20.066666666666666
"Q147773","Trypolis","miejscowość (Libia) [32°53'30' N, 13°11'00' E]",32.891666666666666,13.183333333333334
"Q147844","Auckland","miejscowość (Nowa Zelandia) [36°51'00' S, 174°46'00' E]",-36.85,174.76666666666668
"Q147845","Wellington","miejscowość (Nowa Zelandia) [41°17'30' S, 174°46'30' E]",-41.291666666666664,174.775
"Q147829","Hawana","miejscowość (Kuba) [23°08'00' N, 82°22'00' W]",23.133333333333333,-82.36666666666666
"Q147828","Quebec","miejscowość (Kanada) [46°48'30' N, 71°13'00' W]",46.80833333333333,-71.21666666666667
"Q147763","Bandżul","miejscowość (Gambia) [13°27'10' N, 16°34'30' W]",13.452777777777778,-16.575
"Q147836","Parana","miejscowość (Argentyna) [31°44'00' S, 60°31'30' W]",-31.733333333333334,-60.525
"Q147766","Duala","miejscowość (Kamerun) [4°02'30' N, 9°42'00' E]",4.041666666666667,9.7
"Q147767","Jaunde","miejscowość (Kamerun) [3°52'00' N, 11°31'00' E]",3.8666666666666667,11.516666666666667
"Q147768","Moroni","miejscowość (Komory) [11°42'10' S, 43°15'10' E]",-11.702777777777778,43.25277777777778
"Q147770","Sabrata","miejscowość (Libia) [32°47'30' N, 12°29'00' E]",32.791666666666664,12.483333333333333
"Q147775","Dżenne","miejscowość (Mali) [13°54'20' N, 4°33'20' W]",13.905555555555555,-4.555555555555555
"Q147772","Tobruk","miejscowość (Libia) [32°05'00' N, 23°58'30' E]",32.083333333333336,23.975
"Q147778","Al-Dżadida","miejscowość (Maroko) [33°15'30' N, 8°30'30' W]",33.25833333333333,-8.508333333333333
"Q147779","Al-Husajma","miejscowość (Maroko) [34°14'40' N, 3°56'00' W]",34.24444444444445,-3.9333333333333336
"Q147777","Agadir","miejscowość (Maroko) [30°25'00' N, 9°35'30' W]",30.416666666666668,-9.591666666666667
"Q147782","Fez","miejscowość (Maroko) [34°02'30' N, 5°00'00' W]",34.041666666666664,-5
"Q147780","Al-Kunajtira","miejscowość (Maroko) [34°15'40' N, 6°35'00' W]",34.26111111111111,-6.583333333333333
"Q147780","Kenitra","miejscowość (Maroko) [34°15'40' N, 6°35'00' W]",34.26111111111111,-6.583333333333333
"Q147783","Marrakesz","miejscowość (Maroko) [31°37'40' N, 7°59'20' W]",31.627777777777776,-7.988888888888889
