QID,Miejscowosc,Description,Latitude,Longitude
"Q69878","Przytyk","wieś (gmina: Przytyk, powiat: radomski, wojewódzwo: mazowieckie)",51.467095044000075,20.906443914000057
"Q70700","Radzanów","wieś (gmina: Radzanów, powiat: mławski, wojewódzwo: mazowieckie)",52.94026115742662,20.09259966454303
"Q70700","Radzonów","wieś (gmina: Radzanów, powiat: mławski, wojewódzwo: mazowieckie)",52.94026115742662,20.09259966454303
"Q70573","Radomyśl Wielki","miasto (gmina: Radomyśl Wielki, powiat: mielecki, wojewódzwo: podkarpackie)",50.1972533250001,21.282532671000283
"Q70573","Radomyśl","miasto (gmina: Radomyśl Wielki, powiat: mielecki, wojewódzwo: podkarpackie)",50.1972533250001,21.282532671000283
"Q70384","Raciąż","miasto (gmina: Raciąż, powiat: płoński, wojewódzwo: mazowieckie)",52.780313248457844,20.118911547829846
"Q70939","Raków","wieś (gmina: Raków, powiat: kielecki, wojewódzwo: świętokrzyskie)",50.675417739000075,21.04294313700017
"Q70803","Radzyń Chełmiński","miasto (gmina: Radzyń Chełmiński, powiat: grudziądzki, wojewódzwo: kujawsko-pomorskie)",53.38561743509398,18.93796909279336
"Q70803","Radzyń","miasto (gmina: Radzyń Chełmiński, powiat: grudziądzki, wojewódzwo: kujawsko-pomorskie)",53.38561743509398,18.93796909279336
"Q70803","Radzynia","miasto (gmina: Radzyń Chełmiński, powiat: grudziądzki, wojewódzwo: kujawsko-pomorskie)",53.38561743509398,18.93796909279336
"Q72785","Rudnik nad Sanem","miasto (gmina: Rudnik nad Sanem, powiat: niżański, wojewódzwo: podkarpackie)",50.44050119100025,22.246010440002625
"Q72785","Rudnik","miasto (gmina: Rudnik nad Sanem, powiat: niżański, wojewódzwo: podkarpackie)",50.44050119100025,22.246010440002625
"Q74460","Serokomla","wieś (gmina: Serokomla, powiat: łukowski, wojewódzwo: lubelskie)",51.701434990000244,22.333822944001255
"Q74589","Sępólno Krajeńskie","miasto (gmina: Sępólno Krajeńskie, powiat: sępoleński, wojewódzwo: kujawsko-pomorskie)",53.452156733605825,17.532990732897552
"Q74589","Sempolbork","miasto (gmina: Sępólno Krajeńskie, powiat: sępoleński, wojewódzwo: kujawsko-pomorskie)",53.452156733605825,17.532990732897552
"Q74589","Sempelbork","miasto (gmina: Sępólno Krajeńskie, powiat: sępoleński, wojewódzwo: kujawsko-pomorskie)",53.452156733605825,17.532990732897552
